               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.086215,             0.14568,                   0,            0.055248,             0.39823,             0.05228,            0.014935,            0.082488,            0.076638,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.084571,             0.15335,                   0,            0.053843,             0.36283,            0.050186,            0.014652,            0.082368,            0.075773,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.085592,             0.17409,                   0,            0.056802,             0.36283,            0.051551,            0.015079,             0.08182,            0.075668,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.085647,             0.15338,                   0,            0.058783,             0.36283,            0.054745,            0.015899,            0.081461,            0.075671,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.085538,             0.16051,                   0,            0.065437,             0.40708,             0.05965,            0.016885,            0.080301,            0.077967,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.086394,             0.15556,                   0,            0.059528,             0.42478,            0.064549,             0.01816,            0.079783,            0.082004,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.084311,              0.1321,                   0,             0.06186,             0.43363,            0.066117,            0.019086,            0.079714,            0.082336,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.086538,              0.1597,                   0,            0.062086,             0.45133,            0.069121,            0.019392,            0.079597,            0.083185,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.083568,             0.16126,                   0,            0.069923,             0.44248,            0.074658,            0.019702,            0.079682,            0.083246,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.08441,             0.14632,                   0,            0.081354,             0.38053,            0.074459,            0.021488,            0.079704,            0.082184,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.081827,             0.14362,                   0,             0.08735,             0.36082,            0.075306,            0.021923,            0.079655,            0.082774,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.08423,             0.15034,                   0,            0.091202,             0.34513,            0.074307,            0.021039,            0.079703,            0.083645,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.084156,             0.16442,                   0,            0.092976,             0.34513,              0.0772,            0.021544,            0.079682,            0.082812,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.083884,             0.16202,                   0,             0.10047,             0.33628,            0.076772,            0.021823,             0.07969,            0.083111,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.085503,             0.15497,                   0,            0.096718,             0.35398,            0.076497,            0.021835,            0.079749,            0.083088,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.084497,             0.15403,                   0,            0.088763,             0.35398,             0.08223,            0.024195,            0.079826,            0.083599,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.082806,             0.16012,                   0,            0.091029,             0.38053,            0.086326,            0.025676,            0.079758,            0.082853,                   0,            0.004654,            0.004654,            0.004654
