               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.086857,             0.14555,                   0,             0.04335,             0.45133,            0.054722,            0.011148,            0.078837,            0.079799,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.086414,             0.15169,                   0,            0.045055,             0.49558,            0.042527,            0.010385,            0.078861,            0.079408,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.087116,              0.1733,                   0,            0.042572,             0.47788,            0.038616,            0.010251,            0.078814,             0.07946,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.086928,             0.15361,                   0,            0.041996,             0.46903,            0.039895,            0.010614,            0.078672,            0.079876,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.087381,             0.15804,                   0,            0.041284,             0.46018,            0.039546,            0.010426,             0.07859,             0.08042,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.08839,             0.15418,                   0,            0.043523,             0.48673,            0.050877,            0.012931,             0.07837,            0.080907,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.087024,              0.1298,                   0,            0.042726,             0.49558,            0.048386,            0.011663,            0.078396,            0.079834,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.087564,             0.15919,                   0,            0.043412,             0.40708,            0.048086,             0.01139,            0.078593,            0.079637,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.085767,             0.15852,                   0,            0.039031,             0.40708,            0.039384,            0.010004,            0.078622,            0.080991,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.086626,             0.14369,                   0,            0.045915,             0.40708,            0.038027,           0.0093994,            0.078468,             0.07972,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.084036,             0.14187,                   0,            0.042557,             0.25664,            0.036902,            0.010301,            0.079227,             0.08008,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.086531,              0.1487,                   0,            0.060023,             0.29204,            0.042081,            0.010758,            0.078865,            0.080126,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.086279,             0.16144,                   0,            0.050879,             0.41593,            0.042074,            0.010676,            0.078013,            0.079482,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.08604,              0.1594,                   0,            0.046079,             0.42478,            0.048094,            0.011282,            0.077794,            0.079194,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.087437,             0.15169,                   0,            0.043066,             0.43363,            0.053729,            0.012683,             0.07774,             0.08097,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.086418,             0.15248,                   0,            0.042547,             0.43363,            0.052986,             0.01299,            0.078334,            0.082515,                   0,            0.004753,            0.004753,            0.004753
