,itc_id,rand_index,IoU
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,2.0,0.0,0.0
3,3.0,0.0,0.0
4,4.0,0.3972594167415829,0.43640897755610975
5,5.0,0.0,0.0
6,6.0,0.0,0.0
7,7.0,0.07612456391458373,0.030433446049800184
8,8.0,0.8965503135794931,0.5850622406639004
9,9.0,0.1649983704903754,0.3075614659038194
10,10.0,0.0,0.0
11,11.0,0.0,0.0
12,12.0,0.7147613837828543,0.4311008468052348
13,13.0,0.7246121203739304,0.6021897810218978
14,14.0,0.0,0.0
15,0.0,0.6845143396596409,0.0
16,1.0,0.21424068671830465,0.4170994806232521
17,2.0,0.0,0.0
18,3.0,0.0,0.0
19,4.0,0.0,0.0
20,5.0,0.0,0.0
21,6.0,0.0,0.0
22,7.0,0.30389097428786366,0.40106951871657753
23,8.0,0.06477136871036508,0.19253910950661854
24,9.0,0.9252016811914049,0.6815519765739385
25,10.0,0.0,0.0
26,11.0,0.9955995593064627,0.8651092690278824
27,0.0,0.36719897311343686,0.0
28,1.0,0.1153517472699246,0.25460439074701635
29,2.0,0.0,0.0
30,3.0,0.0,0.0
31,4.0,0.0,0.0
32,5.0,0.0,0.1335135135135135
33,6.0,0.0,0.0
34,7.0,0.0,0.0
35,8.0,0.0,0.0
36,9.0,0.99581899388324,0.8706624605678234
37,10.0,0.725880288555274,0.432064128256513
38,11.0,0.0,0.0
39,12.0,0.0,0.0
40,13.0,0.0,0.0
41,14.0,0.0,0.0
42,15.0,0.5836998669164304,0.5034886966229417
43,16.0,0.0,0.0
44,17.0,0.0,0.0
45,18.0,0.0,0.0
46,19.0,0.0,0.0
47,20.0,0.0,0.0
48,21.0,0.6202418948321768,0.5539135194307608
49,22.0,0.0,0.0
50,23.0,0.0,0.0
51,0.0,0.6770937613123306,0.4117647058823529
52,1.0,0.6023678893422011,0.4361379310344828
53,2.0,0.0,0.0
54,3.0,0.0,0.0
55,4.0,0.0,0.0
56,5.0,0.0,0.0
57,6.0,0.5985695992912534,0.47210407805854393
58,7.0,0.2837230747172518,0.334604385128694
59,8.0,0.24267552566599804,0.33308028088821406
60,9.0,0.0975030148526328,0.10899182561307902
61,10.0,0.0,0.0
62,11.0,0.0,0.0
63,0.0,0.0,0.0
64,1.0,0.0,0.0
65,2.0,0.5756154057777894,0.33115823817292006
66,3.0,0.0,0.0
67,4.0,0.0,0.0
68,5.0,0.0,0.0
69,6.0,0.0,0.0
70,7.0,0.0,0.0
71,8.0,0.0,0.0
72,9.0,0.0,0.0
73,10.0,0.7366901529002357,0.43700921816319566
74,11.0,0.0,0.0
75,12.0,0.0,0.0
76,13.0,0.0,0.0
77,14.0,0.22427883992362918,0.1568627450980392
78,15.0,0.0,0.0
79,16.0,0.4779099986768302,0.3909415971394517
80,17.0,0.0,0.0
81,18.0,0.8342824810626654,0.582010582010582
82,19.0,0.0,0.0
83,20.0,0.7280389064633627,0.5218617771509168
84,21.0,0.0,0.0
85,22.0,0.934148040772319,0.66693354683747
86,0.0,0.0,0.0
87,1.0,0.0,0.0
88,2.0,0.6886760846200444,0.2401518747033697
89,3.0,0.0,0.0
90,4.0,0.0,0.0
91,5.0,0.8024818891922949,0.4106614017769003
92,6.0,0.527284069294173,0.33444816053511706
93,7.0,0.0,0.0
94,8.0,0.945285305417322,0.6140350877192983
95,9.0,0.7193022015094388,0.41633019291161955
96,10.0,0.0,0.0
97,11.0,0.9616159031249588,0.6805648957632818
98,12.0,0.3534914255590347,0.030215827338129497
99,13.0,0.0,0.0
100,14.0,0.0,0.0
101,0,0.0,0.0
102,1,0.011249170662215986,0.09789743019245745
103,2,0.0,0.0
104,3,0.010848390320574653,0.10009987792697814
105,0,0.7255006625423551,0.41675284384694933
106,1,0.0,0.0
107,2,0.0,0.0
108,3,0.0,0.0
109,4,0.0,0.0
110,5,0.0,0.0
111,6,0.5039396508826306,0.26824817518248173
112,7,0.0,0.0
113,8,0.2532432095516434,0.15481832543443919
114,9,0.0,0.0
115,10,0.3286046324590605,0.3944583413507793
116,11,0.7597941023338585,0.4984313725490196
117,12,0.21842433340151116,0.09436304941643904
